Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match Type
111,-,115,12,2,96.52,3,not out,2,West Indies,Kingston,06-07-2017,ODI
82,-,70,10,1,117.14,3,not out,2,Sri Lanka,Dambulla,20-08-2017,ODI
4,-,2,1,0,200,5,bowled,2,Sri Lanka,Pallekele,24-08-2017,ODI
3,-,11,0,0,27.27,3,caught,2,Sri Lanka,Pallekele,27-08-2017,ODI
131,-,96,17,2,136.45,3,caught,1,Sri Lanka,Colombo (RPS),31-08-2017,ODI
110,-,116,9,0,94.82,3,not out,2,Sri Lanka,Colombo (RPS),03-09-2017,ODI
0,7,4,0,0,0,3,caught,1,Australia,Chennai,17-09-2017,ODI
92,148,107,8,0,85.98,3,bowled,1,Australia,Eden Gardens,21-09-2017,ODI
28,58,35,2,0,80,3,caught,2,Australia,Indore,24-09-2017,ODI
21,23,21,3,0,100,3,bowled,2,Australia,Bengaluru,28-09-2017,ODI
39,73,55,2,0,70.9,3,caught,2,Australia,Nagpur,01-10-2017,ODI
121,203,125,9,2,96.8,3,caught,1,New Zealand,Wankhede,22-10-2017,ODI
29,40,29,3,1,100,3,caught,2,New Zealand,Pune,25-10-2017,ODI
113,166,106,9,1,106.6,3,caught,1,New Zealand,Kanpur,29-10-2017,ODI
112,164,119,10,0,94.11,3,caught,2,South Africa,Durban,01-02-2018,ODI
46,64,50,4,1,92,3,not out,2,South Africa,Centurion,04-02-2018,ODI
160,220,159,12,2,100.62,3,not out,1,South Africa,Cape Town,07-02-2018,ODI
75,119,83,7,1,90.36,3,caught,1,South Africa,Johannesburg,10-02-2018,ODI
36,76,54,2,0,66.66,3,run out,1,South Africa,Gqeberha,13-02-2018,ODI
129,123,96,19,2,134.37,3,not out,2,South Africa,Centurion,16-02-2018,ODI
75,-,82,7,0,91.46,3,stumped,2,England,Nottingham,12-07-2018,ODI
45,-,56,2,0,80.35,3,lbw,2,England,Lord's,14-07-2018,ODI
71,98,72,8,0,98.61,3,bowled,1,England,Leeds,17-07-2018,ODI
140,-,107,21,2,130.84,3,stumped,2,West Indies,Guwahati,21-10-2018,ODI
157,217,129,13,4,121.7,3,not out,1,West Indies,Visakhapatnam,24-10-2018,ODI
107,-,119,10,1,89.91,3,bowled,2,West Indies,Pune,27-10-2018,ODI
16,-,17,2,0,94.11,3,caught,1,West Indies,Brabourne,29-10-2018,ODI
33,57,29,6,0,113.79,3,not out,2,West Indies,Thiruvananthapuram,01-11-2018,ODI
3,10,8,0,0,37.5,3,caught,2,Australia,Sydney,12-01-2019,ODI
104,150,112,5,2,92.85,3,caught,2,Australia,Adelaide,15-01-2019,ODI
46,-,62,3,0,74.19,3,caught,2,Australia,Melbourne,18-01-2019,ODI
45,59,59,3,0,76.27,3,caught,2,New Zealand,Napier,23-01-2019,ODI
43,59,45,5,0,95.55,3,caught,1,New Zealand,Mount Maunganui,26-01-2019,ODI
60,94,74,6,1,81.08,3,caught,2,New Zealand,Mount Maunganui,28-01-2019,ODI
44,-,45,6,1,97.77,3,lbw,2,Australia,Hyderabad (Deccan),02-03-2019,ODI
116,-,120,10,0,96.66,3,caught,1,Australia,Nagpur,05-03-2019,ODI
123,-,95,16,1,129.47,3,bowled,2,Australia,Ranchi,08-03-2019,ODI
7,-,6,1,0,116.66,4,caught,1,Australia,Mohali,10-03-2019,ODI
20,-,22,2,0,90.9,3,caught,2,Australia,Delhi,13-03-2019,ODI
18,44,34,1,0,52.94,3,caught,2,South Africa,Southampton,05-06-2019,ODI
82,128,77,4,2,106.49,3,caught,1,Australia,The Oval,09-06-2019,ODI
77,105,65,7,0,118.46,3,caught,1,Pakistan,Manchester,16-06-2019,ODI
67,105,63,5,0,106.34,3,caught,1,Afghanistan,Southampton,22-06-2019,ODI
72,146,82,8,0,87.8,3,caught,1,West Indies,Manchester,27-06-2019,ODI
66,103,76,7,0,86.84,3,caught,2,England,Birmingham,30-06-2019,ODI
26,45,27,3,0,96.29,3,caught,1,Bangladesh,Birmingham,02-07-2019,ODI
34,61,41,3,0,82.92,3,not out,2,Sri Lanka,Leeds,06-07-2019,ODI
1,8,6,0,0,16.66,3,lbw,2,New Zealand,Manchester,09-07-2019,ODI
,,,,,,,,,West Indies,Providence,08-08-2019,ODI
120,179,125,14,1,96,3,caught,1,West Indies,Port of Spain,11-08-2019,ODI
114,127,99,14,0,115.15,3,not out,2,West Indies,Port of Spain,14-08-2019,ODI
4,-,4,1,0,100,3,bowled,1,West Indies,Chennai,15-12-2019,ODI
0,-,1,0,0,0,3,caught,1,West Indies,Visakhapatnam,18-12-2019,ODI
85,-,81,9,0,104.93,3,bowled,2,West Indies,Cuttack,22-12-2019,ODI
16,-,14,0,1,114.28,4,caught,1,Australia,Wankhede,14-01-2020,ODI
78,-,76,6,0,102.63,3,caught,1,Australia,Rajkot,17-01-2020,ODI
89,-,91,8,0,97.8,3,bowled,2,Australia,Bengaluru,19-01-2020,ODI
51,88,63,6,0,80.95,3,bowled,1,New Zealand,Hamilton,05-02-2020,ODI
15,31,25,1,0,60,3,bowled,2,New Zealand,Auckland,08-02-2020,ODI
9,20,12,0,1,75,3,caught,1,New Zealand,Mount Maunganui,11-02-2020,ODI
21,-,21,2,1,100,3,caught,2,Australia,Sydney,27-11-2020,ODI
89,-,87,7,2,102.29,3,caught,2,Australia,Sydney,29-11-2020,ODI
63,-,78,5,0,80.76,3,caught,1,Australia,Canberra,02-12-2020,ODI
56,65,60,6,0,93.33,3,caught,1,England,Pune,23-03-2021,ODI
66,110,79,3,1,83.54,3,caught,1,England,Pune,26-03-2021,ODI
7,14,10,1,0,70,3,bowled,1,England,Pune,28-03-2021,ODI
51,79,63,3,0,80.95,3,caught,2,South Africa,Paarl,19-01-2022,ODI
0,4,5,0,0,0,3,caught,1,South Africa,Paarl,21-01-2022,ODI
65,112,84,5,0,77.38,3,caught,2,South Africa,Cape Town,23-01-2022,ODI
8,6,4,2,0,200,3,caught,2,West Indies,Ahmedabad,06-02-2022,ODI
18,42,30,3,0,60,3,caught,1,West Indies,Ahmedabad,09-02-2022,ODI
0,2,2,0,0,0,3,caught,1,West Indies,Ahmedabad,11-02-2022,ODI
16,39,25,3,0,64,3,caught,2,England,Lord's,14-07-2022,ODI
17,27,22,3,0,77.27,3,caught,2,England,Manchester,17-07-2022,ODI
